Segment,Customers,Avg_Monetary,Avg_Frequency
At Risk,7855,57.03362316995544,1.0
Champions,9084,475.12741963892563,1.200022016732717
Loyal Customers,32913,275.47258438914713,1.0417768055175767
Need Attention,18563,103.08237030652373,1.0004848354253084
Potential Loyalists,27681,174.68517069470033,1.0052021242007152
