customer_city,Revenue,Orders,Customers,Average_Order_Value
campos belos,927.53,7,7,132.50428571428571
piedade de caratinga,926.03,7,7,132.29
passira,923.44,1,1,923.44
sao bernardo,923.39,3,3,307.7966666666667
mambai,921.9,2,2,460.95
lima duarte,920.86,6,5,153.47666666666666
presidente getulio,920.83,7,7,131.54714285714286
getulio vargas,919.9399999999999,8,8,114.99249999999999
juru,919.38,1,1,919.38
itaguari,913.7,1,1,913.7
trajano de moraes,913.04,8,8,114.13
arrozal,912.81,3,3,304.27
tarumirim,912.25,4,4,228.0625
piranhas,911.81,4,3,227.9525
apiai,911.38,6,6,151.89666666666668
ibira,911.03,7,7,130.14714285714285
tres coroas,910.48,6,6,151.74666666666667
jaru,910.26,6,6,151.71
cachoeira do campo,909.84,2,2,454.92
lutecia,908.84,1,1,908.84
chui,908.1600000000001,5,4,181.632
mario campos,906.88,4,4,226.72
sao jose do cedro,905.99,5,4,181.198
avanhandava,905.33,7,7,129.33285714285714
sao bento do sapucai,905.24,7,7,129.32
vargem bonita,903.11,5,5,180.622
morro reuter,902.76,3,3,300.92
manoel ribas,902.64,4,4,225.66
sao joao do sul,902.37,2,2,451.185
carlopolis,901.1800000000001,6,6,150.1966666666667
candiota,899.5999999999999,4,4,224.89999999999998
igarapava,897.02,7,7,128.1457142857143
feira nova,895.87,5,4,179.174
nuporanga,895.41,3,3,298.46999999999997
rafard,895.3399999999999,5,5,179.06799999999998
icatu,892.9,1,1,892.9
dois irmaos do buriti,890.1500000000001,3,3,296.7166666666667
nova veneza,889.9,7,7,127.12857142857142
cuite,887.22,4,4,221.805
jacupiranga,885.57,5,5,177.114
ubaira,884.91,6,6,147.48499999999999
rio pardo,884.86,6,6,147.47666666666666
conde,881.52,2,2,440.76
rio acima,880.83,8,8,110.10375
lagoa do carro,880.78,2,2,440.39
ze doca,878.9200000000001,5,5,175.78400000000002
barra do choca,877.49,3,3,292.49666666666667
ilhota,877.22,4,4,219.305
campos borges,877.04,3,3,292.34666666666664
cocalinho,876.86,4,4,219.215
serro,876.62,2,2,438.31
sao pedro dos ferros,875.73,4,3,218.9325
colniza,875.49,3,3,291.83
paramirim,874.55,5,5,174.91
vianopolis,874.54,3,3,291.5133333333333
tupi paulista,874.4300000000001,6,6,145.73833333333334
pedrinopolis,869.5799999999999,3,3,289.85999999999996
carai,869.39,6,6,144.89833333333334
campina verde,868.85,10,10,86.885
guapo,868.7,6,6,144.78333333333333
arataca,865.78,1,1,865.78
bela vista de goias,864.75,7,7,123.53571428571429
virgem da lapa,864.44,3,3,288.1466666666667
laurentino,863.27,5,5,172.654
sao ludgero,862.37,3,3,287.45666666666665
perdoes,862.01,9,8,95.77888888888889
jaguaribe,861.8000000000001,5,5,172.36
alvorada d'oeste,860.2,1,1,860.2
trairi,860.1300000000001,2,2,430.06500000000005
araguatins,859.9,5,4,171.98
jeceaba,858.79,6,5,143.13166666666666
custodia,857.85,5,5,171.57
mateus leme,856.78,9,9,95.19777777777777
vila muriqui,856.45,7,7,122.35000000000001
murutinga do sul,855.71,2,2,427.855
florestopolis,855.07,3,3,285.02333333333337
chapada dos guimaraes,854.78,4,4,213.695
entre-ijuis,851.98,3,3,283.99333333333334
lagoa dourada,851.5799999999999,5,5,170.31599999999997
